(1) GlymaID from Gmax version 2.0. Only primary predicted proteins were included in analyses. For more information on Gmax2.0 cDNAs see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(2) Top Uniref100 BLASTP Hit. Match determined via BLASTP of Gmax2.0 primary proteins against Uniref100 (version 03/27/2014). E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(3) Top Descriptive Uniref100 BLASTP Hit. The BLAST report generated above (2) was parsed to eliminate uninformative hits.  Hits including the words uncharacterized, putative, related, predicted, orf, expressed or containing Arabidopsis or Rice gene identifiers (AtXgXXXXX, OsXXgXXXXX) were ignored. E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(4) Top Arabidopsis (TAIR10) BLASTP Hit (4). Match determined via BLASTP of Gmax2.0 primary proteins against Arabidopsis thaliana proteins (TAIR10). For additional details see www.arabidopsis.org. E-value for the top high scoring pair(HSP) is indicated. Percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(5) Gene Ontology Biological Process IDs. GO Biological Process IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(6) Gene Ontology Molecular Function IDs. GO Molecular Function IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v. 10 (03/27/14). Descriptions for the GO terms are also provided.
(7) Gene Ontology Cellular Component IDs. GO Cellular Component IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(8) PFAM IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(9) PANTHER IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(10) KOG IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.

Gmax 2.0 Primary Protein ID (1)	Protein Length (AA)	Top Uniref100 BLASTP Hit (2)	E-value (E<10-6)	% Coverage	Top Descriptive Uniref100 BLASTP Hit (3)	E-value (E<10-6)	% Coverage	Top Arabidopsis (TAIR10) BLASTP Hit (4)	E-value (E<10-6)	Coverage	Gene Ontology Biological Process IDs (5)	Gene Ontology Biological Process Descriptions	Gene Ontology Molecular Function IDs (6)	Gene Ontology Molecular Function Descriptions	Gene Ontology Cellular Component IDs (7)	Gene Ontology Cellular Component Descriptions	PFAM IDs (8)	PFAM_Descriptions	Panther IDs (9)	Panther_Descriptions	KOG IDs (10)	KOG_Desctiptions
Glyma.01G006400	598	UniRef100_I1J4G8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4G8_SOYBN	0	100	UniRef100_B6ETP1 Arginyl-tRNA synthetase n=1 Tax=Glycine max RepID=B6ETP1_SOYBN	0	100	AT4G26300.1|Symbols:emb1027|Arginyl-tRNA synthetase, class Ic|chr4:13308400-13313109 REVERSE LENGTH=642	0	91.59	GO:0006164 GO:0006418 GO:0006420 GO:0009793 GO:0010162 GO:0010564 GO:0048366 GO:0048825	arginyl-tRNA aminoacylation; cotyledon development; embryo development ending in seed dormancy; leaf development; purine nucleotide biosynthetic process; regulation of cell cycle process; seed dormancy process; tRNA aminoacylation for protein translation	GO:0000166 GO:0004812 GO:0004814 GO:0005524	ATP binding; aminoacyl-tRNA ligase activity; arginine-tRNA ligase activity; nucleotide binding	GO:0005737 GO:0005739 GO:0009507 GO:0009570	chloroplast; chloroplast stroma; cytoplasm; mitochondrion	PF05746 PF03485 PF00750	DALR anticodon binding domain; Arginyl tRNA synthetase N terminal domain; tRNA synthetases class I (R)	PTHR11956	ARGINYL-TRNA SYNTHETASE	KOG4426	Arginyl-tRNA_synthetase  	
Glyma.01G006500	1168	UniRef100_K7K145 DNA-directed RNA polymerase n=1 Tax=Glycine max RepID=K7K145_SOYBN	0	98.71	UniRef100_K7K145 DNA-directed RNA polymerase n=1 Tax=Glycine max RepID=K7K145_SOYBN	0	98.71	AT5G45140.1|Symbols:NRPC2|nuclear RNA polymerase C2|chr5:18247416-18257713 REVERSE LENGTH=1161	0	98.02	GO:0006351 GO:0009560	embryo sac egg cell differentiation; transcription, DNA-dependent	GO:0003677 GO:0003899 GO:0032549	DNA-directed RNA polymerase activity; DNA binding; ribonucleoside binding	GO:0009507	chloroplast	PF04567 PF04566 PF04561 PF04565 PF04563 PF04560 PF00562	RNA polymerase Rpb2, domain 5; RNA polymerase Rpb2, domain 4; RNA polymerase Rpb2, domain 2; RNA polymerase Rpb2, domain 3; RNA polymerase beta subunit; RNA polymerase Rpb2, domain 7; RNA polymerase Rpb2, domain 6	PTHR20856	DNA-DIRECTED RNA POLYMERASE I SUBUNIT 2	KOG0215	RNA_polymerase_III,_second_largest_subunit  	
Glyma.01G006600	1500	UniRef100_I1J4H2 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4H2_SOYBN	0	100	UniRef100_D7MCM2 Kinase family protein n=1 Tax=Arabidopsis lyrata subsp. lyrata RepID=D7MCM2_ARALL	0	100.4	AT4G29380.1|Symbols:|protein kinase family protein / WD-40 repeat family protein|chr4:14458822-14464692 FORWARD LENGTH=1494	0	100.4	GO:0000303 GO:0006468 GO:0006499 GO:0006635 GO:0006869 GO:0006891 GO:0007165 GO:0008219 GO:0009555 GO:0009630 GO:0009755 GO:0009846 GO:0009863 GO:0009873 GO:0010351 GO:0016558 GO:0044265 GO:0048573	N-terminal protein myristoylation; cell death; cellular macromolecule catabolic process; ethylene mediated signaling pathway; fatty acid beta-oxidation; gravitropism; hormone-mediated signaling pathway; intra-Golgi vesicle-mediated transport; lipid transport; lithium ion transport; photoperiodism, flowering; pollen development; pollen germination; protein import into peroxisome matrix; protein phosphorylation; response to superoxide; salicylic acid mediated signaling pathway; signal transduction	GO:0004672 GO:0004674 GO:0005524 GO:0016772	ATP binding; protein kinase activity; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0005737 GO:0005794 GO:0080008	CUL4-RING ubiquitin ligase complex; Golgi apparatus; cytoplasm	PF00069 PF02985 PF00400	Protein kinase domain; HEAT repeat; WD domain, G-beta repeat	PTHR17583	PHOSPHOINOSITIDE 3-KINASE REGULATORY SUBUNIT 4	KOG1240	Protein_kinase_containing_WD40_repeats  	
Glyma.01G006700	709	UniRef100_I1J4H3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4H3_SOYBN	0	100	UniRef100_D7LZB3 Peptidase M28 family protein n=1 Tax=Arabidopsis lyrata subsp. lyrata RepID=D7LZB3_ARALL	0	99.71	AT5G19740.1|Symbols:|Peptidase M28 family protein|chr5:6673986-6676767 FORWARD LENGTH=681	0	99.85	GO:0006508	proteolysis	GO:0008233 GO:0016805	dipeptidase activity; peptidase activity	GO:0005773 GO:0005886	plasma membrane; vacuole	PF04253 PF04389 PF02225	Transferrin receptor-like dimerisation domain; Peptidase family M28; PA domain	PTHR10404	N-ACETYLATED-ALPHA-LINKED ACIDIC DIPEPTIDASE	KOG2195	Transferrin_receptor_and_related_proteins_containing_the_protease-associated_(PA)_domain  	
Glyma.01G006800	380	UniRef100_I1J4H5 Pectinesterase n=1 Tax=Glycine max RepID=I1J4H5_SOYBN	0	100	UniRef100_I1J4H5 Pectinesterase n=1 Tax=Glycine max RepID=I1J4H5_SOYBN	0	100	AT5G19730.1|Symbols:|Pectin lyase-like superfamily protein|chr5:6670562-6673202 FORWARD LENGTH=383	0	93.99	GO:0009411 GO:0009813 GO:0042545	cell wall modification; flavonoid biosynthetic process; response to UV	GO:0030599	pectinesterase activity	GO:0005618 GO:0005737 GO:0009505 GO:0009507	cell wall; chloroplast; cytoplasm; plant-type cell wall	PF01095	Pectinesterase	PTHR22931	PHOSPHOENOLPYRUVATE DIKINASE-RELATED	NA	NA	
Glyma.01G006900	213	UniRef100_C6T595 Uncharacterized protein n=1 Tax=Glycine max RepID=C6T595_SOYBN	4.00E-154	100	NA	NA	NA	AT3G51100.1|Symbols:|unknown protein; Has 48 Blast hits to 48 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr3:18980531-18982174 REVERSE LENGTH=211	2.00E-52	80.57	GO:0008150	biological process	GO:0003674	molecular function	GO:0005634	nucleus	NA	NA	NA	NA	NA	NA	
Glyma.01G007000	421	UniRef100_I1J4H8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4H8_SOYBN	0	100	UniRef100_G7LGP8 IQ domain-containing protein n=1 Tax=Medicago truncatula RepID=G7LGP8_MEDTR	4.00E-109	97.34	AT3G16490.1|Symbols:IQD26|IQ-domain 26|chr3:5603962-5605489 REVERSE LENGTH=389	2.00E-88	101.54	GO:0008150	biological process	GO:0005516	calmodulin binding	GO:0005794	Golgi apparatus	PF00612	IQ calmodulin-binding motif	PTHR13140	MYOSIN	NA	NA	
Glyma.01G007100	344	UniRef100_I1J4I0 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4I0_SOYBN	0	100	UniRef100_V7C456 MATE efflux family protein n=1 Tax=Phaseolus vulgaris RepID=V7C456_PHAVU	0	67.8	AT4G29140.1|Symbols:|MATE efflux family protein|chr4:14369148-14370746 FORWARD LENGTH=532	2.00E-157	63.91	GO:0006855 GO:0031348 GO:0046685 GO:0055085	drug transmembrane transport; negative regulation of defense response; response to arsenic-containing substance; transmembrane transport	GO:0005215 GO:0015238 GO:0015297	antiporter activity; drug transmembrane transporter activity; transporter activity	GO:0005886 GO:0016020	membrane; plasma membrane	PF01554	MatE	PTHR11206	MULTIDRUG RESISTANCE PROTEIN	NA	NA	
Glyma.01G007200	497	UniRef100_I1J4I1 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4I1_SOYBN	0	100	UniRef100_G7L7F0 Hexokinase n=1 Tax=Medicago truncatula RepID=G7L7F0_MEDTR	0	80.82	AT2G19860.1|Symbols:ATHXK2, HXK2|hexokinase 2|chr2:8570818-8573762 FORWARD LENGTH=502	0	98.61	GO:0005975 GO:0006096 GO:0009747 GO:0010182 GO:0012501	carbohydrate metabolic process; glycolysis; hexokinase-dependent signaling; programmed cell death; sugar mediated signaling pathway	GO:0004340 GO:0004396 GO:0005524 GO:0008865 GO:0016773	ATP binding; fructokinase activity; glucokinase activity; hexokinase activity; phosphotransferase activity, alcohol group as acceptor	GO:0005739 GO:0009507 GO:0009536 GO:0031307	chloroplast; integral to mitochondrial outer membrane; mitochondrion; plastid	PF03727 PF00349	Hexokinase; Hexokinase	PTHR19443	HEXOKINASE	KOG1369	Hexokinase  	
Glyma.01G007300	497	UniRef100_I1J4I4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4I4_SOYBN	0	100	UniRef100_Q9FVD3 Hexokinase n=2 Tax=Citrus RepID=Q9FVD3_CITSI	0	95.18	AT2G19860.1|Symbols:ATHXK2, HXK2|hexokinase 2|chr2:8570818-8573762 FORWARD LENGTH=502	0	97.81	GO:0005975 GO:0006096 GO:0009747 GO:0010182 GO:0012501	carbohydrate metabolic process; glycolysis; hexokinase-dependent signaling; programmed cell death; sugar mediated signaling pathway	GO:0004340 GO:0004396 GO:0005524 GO:0008865 GO:0016773	ATP binding; fructokinase activity; glucokinase activity; hexokinase activity; phosphotransferase activity, alcohol group as acceptor	GO:0005739 GO:0009507 GO:0009536 GO:0031307	chloroplast; integral to mitochondrial outer membrane; mitochondrion; plastid	PF03727 PF00349	Hexokinase; Hexokinase	PTHR19443	HEXOKINASE	KOG1369	Hexokinase  	
Glyma.01G007400	1014	UniRef100_I1J4I5 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4I5_SOYBN	0	100	UniRef100_G7KPN7 Receptor-like protein kinase n=1 Tax=Medicago truncatula RepID=G7KPN7_MEDTR	0	93.94	AT5G25930.1|Symbols:|Protein kinase family protein with leucine-rich repeat domain|chr5:9050880-9053978 FORWARD LENGTH=1005	0	94.03	GO:0002679 GO:0006468 GO:0006612 GO:0006944 GO:0009723 GO:0009738 GO:0010200 GO:0010363 GO:0035556 GO:0043069 GO:0052542	abscisic acid mediated signaling pathway; cellular membrane fusion; defense response by callose deposition; intracellular signal transduction; negative regulation of programmed cell death; protein phosphorylation; protein targeting to membrane; regulation of plant-type hypersensitive response; respiratory burst involved in defense response; response to chitin; response to ethylene stimulus	GO:0004672 GO:0004674 GO:0005524 GO:0016301 GO:0016772	ATP binding; kinase activity; protein kinase activity; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0005886 GO:0016020	membrane; plasma membrane	PF00560 PF08263 PF00069	Leucine Rich Repeat; Leucine rich repeat N-terminal domain; Protein kinase domain	PTHR24420	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE	KOG1187	Serine/threonine_protein_kinase  	
Glyma.01G007500	1011	UniRef100_I1J4I6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4I6_SOYBN	0	100	UniRef100_G7KPN7 Receptor-like protein kinase n=1 Tax=Medicago truncatula RepID=G7KPN7_MEDTR	0	94.42	AT5G25930.1|Symbols:|Protein kinase family protein with leucine-rich repeat domain|chr5:9050880-9053978 FORWARD LENGTH=1005	0	93.83	GO:0002679 GO:0006468 GO:0006612 GO:0006944 GO:0009723 GO:0009738 GO:0010200 GO:0010363 GO:0035556 GO:0043069 GO:0052542	abscisic acid mediated signaling pathway; cellular membrane fusion; defense response by callose deposition; intracellular signal transduction; negative regulation of programmed cell death; protein phosphorylation; protein targeting to membrane; regulation of plant-type hypersensitive response; respiratory burst involved in defense response; response to chitin; response to ethylene stimulus	GO:0004672 GO:0004674 GO:0005524 GO:0016301 GO:0016772	ATP binding; kinase activity; protein kinase activity; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0005886 GO:0016020	membrane; plasma membrane	PF00069 PF00560 PF08263	Protein kinase domain; Leucine Rich Repeat; Leucine rich repeat N-terminal domain	PTHR24420	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE	KOG1187	Serine/threonine_protein_kinase  	
Glyma.01G007600	82	UniRef100_K7K148 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K148_SOYBN	1.00E-52	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G007700	201	UniRef100_I1J4I7 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4I7_SOYBN	6.00E-142	100	UniRef100_T2DPJ0 Mitochondrial import inner membrane translocase subunit tim17 n=1 Tax=Phaseolus vulgaris RepID=T2DPJ0_PHAVU	3.00E-126	100	AT2G37410.2|Symbols:ATTIM17-2, TIM17, TIM17-2|translocase inner membrane subunit 17-2|chr2:15698119-15698850 REVERSE LENGTH=243	9.00E-95	82.3	GO:0007067 GO:0015031 GO:0045039 GO:0048573 GO:0051604	mitosis; photoperiodism, flowering; protein import into mitochondrial inner membrane; protein maturation; protein transport	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	GO:0005739 GO:0005741 GO:0005743 GO:0005744	mitochondrial inner membrane; mitochondrial inner membrane presequence translocase complex; mitochondrial outer membrane; mitochondrion	PF02466	Tim17/Tim22/Tim23/Pmp24 family	PTHR10485	MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM-17	KOG1652	Mitochondrial_import_inner_membrane_translocase,_subunit_TIM17  	
Glyma.01G007800	876	UniRef100_K7K149 Cytosine-specific methyltransferase n=1 Tax=Glycine max RepID=K7K149_SOYBN	0	100	UniRef100_K7K149 Cytosine-specific methyltransferase n=1 Tax=Glycine max RepID=K7K149_SOYBN	0	100	AT1G69770.1|Symbols:CMT3|chromomethylase 3|chr1:26248496-26253519 REVERSE LENGTH=839	0	95.71	GO:0006260 GO:0006261 GO:0006270 GO:0006275 GO:0006306 GO:0006342 GO:0006346 GO:0008283 GO:0009909 GO:0010069 GO:0010425 GO:0016458 GO:0016572 GO:0031047 GO:0031048 GO:0034968 GO:0045814 GO:0051567 GO:0051726	DNA-dependent DNA replication; DNA methylation; DNA methylation on cytosine within a CNG sequence; DNA replication; DNA replication initiation; cell proliferation; chromatin silencing; chromatin silencing by small RNA; gene silencing; gene silencing by RNA; histone H3-K9 methylation; histone lysine methylation; histone phosphorylation; methylation-dependent chromatin silencing; negative regulation of gene expression, epigenetic; regulation of DNA replication; regulation of cell cycle; regulation of flower development; zygote asymmetric cytokinesis in embryo sac	GO:0003677 GO:0003886	DNA (cytosine-5-)-methyltransferase activity; DNA binding	GO:0005634	nucleus	PF00145 PF00385	C-5 cytosine-specific DNA methylase; Chromo (CHRromatin Organisation MOdifier) domain	PTHR10629	CYTOSINE-SPECIFIC METHYLTRANSFERASE	NA	NA	
Glyma.01G007900	522	UniRef100_I1J4I9 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4I9_SOYBN	0	100	UniRef100_G7L7F4 Ceramide glucosyltransferase n=1 Tax=Medicago truncatula RepID=G7L7F4_MEDTR	0	99.42	AT2G19880.2|Symbols:|Nucleotide-diphospho-sugar transferases superfamily protein|chr2:8581578-8585118 FORWARD LENGTH=520	0	99.81	GO:0008150	biological process	GO:0008120	ceramide glucosyltransferase activity	GO:0005794	Golgi apparatus	PF00535	Glycosyl transferase family 2	PTHR12726	CERAMIDE GLUCOSYLTRANSFERASE	KOG2547	Ceramide_glucosyltransferase  	
Glyma.01G008000	120	UniRef100_I1J4J0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4J0_SOYBN	4.00E-82	100	UniRef100_B9ILU4 Cytochrome b5 domain-containing family protein n=1 Tax=Populus trichocarpa RepID=B9ILU4_POPTR	2.00E-55	100.85	AT1G60660.1|Symbols:B5 #5, ATCB5LP, CB5LP|cytochrome B5-like protein|chr1:22342589-22342954 REVERSE LENGTH=121	1.00E-47	96.69	GO:0016126	sterol biosynthetic process	GO:0020037	heme binding	GO:0005739	mitochondrion	PF00173	Cytochrome b5-like Heme/Steroid binding domain	PTHR19359	CYTOCHROME B5	NA	NA	
Glyma.01G008100	378	UniRef100_I1J4J2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4J2_SOYBN	0	100	UniRef100_B9H8Y7 Senescence/dehydration-associated family protein n=2 Tax=Populus trichocarpa RepID=B9H8Y7_POPTR	2.00E-127	93.68	AT4G15450.1|Symbols:|Senescence/dehydration-associated protein-related|chr4:8839437-8841162 FORWARD LENGTH=381	4.00E-132	92.65	NA	NA	NA	NA	NA	NA	PF06911	Senescence-associated protein	PTHR21068	FAMILY NOT NAMED	NA	NA	
Glyma.01G008200	1242	UniRef100_I1J4J3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4J3_SOYBN	0	100	UniRef100_Q8GU81 MDR-like ABC transporter n=2 Tax=Oryza sativa subsp. japonica RepID=Q8GU81_ORYSJ	0	98.78	AT3G28345.1|Symbols:|ABC transporter family protein|chr3:10593921-10598775 REVERSE LENGTH=1240	0	98.15	GO:0006200 GO:0006810 GO:0010048 GO:0010315 GO:0010540 GO:0010541 GO:0043481 GO:0048440 GO:0055085	ATP catabolic process; acropetal auxin transport; anthocyanin accumulation in tissues in response to UV light; auxin efflux; basipetal auxin transport; carpel development; transmembrane transport; transport; vernalization response	GO:0000166 GO:0005524 GO:0016887 GO:0017111 GO:0042626	ATP binding; ATPase activity; ATPase activity, coupled to transmembrane movement of substances; nucleoside-triphosphatase activity; nucleotide binding	GO:0005886 GO:0016021	integral to membrane; plasma membrane	PF00664 PF00005	ABC transporter transmembrane region; ABC transporter	PTHR24221	FAMILY NOT NAMED	KOG0055	Multidrug/pheromone_exporter,_ABC_superfamily  	
Glyma.01G008300	156	UniRef100_K7K150 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K150_SOYBN	2.00E-106	100	UniRef100_B7F8C5 cDNA, clone: J065011J02, full insert sequence n=2 Tax=Oryza sativa RepID=B7F8C5_ORYSJ	3.00E-18	93.38	AT3G16360.2|Symbols:AHP4|HPT phosphotransmitter 4|chr3:5554351-5555518 FORWARD LENGTH=145	3.00E-21	102.76	GO:0000160 GO:0009736 GO:0080036	cytokinin mediated signaling pathway; phosphorelay signal transduction system; regulation of cytokinin mediated signaling pathway	GO:0004871 GO:0009927 GO:0016772	histidine phosphotransfer kinase activity; signal transducer activity; transferase activity, transferring phosphorus-containing groups	GO:0005634 GO:0005737	cytoplasm; nucleus	PF01627	Hpt domain	NA	NA	KOG4747	Two-component_phosphorelay_intermediate_involved_in_MAP_kinase_cascade_regulation  	
Glyma.01G008400	333	UniRef100_I1J4J4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4J4_SOYBN	0	100	UniRef100_G7L7G7 1-aminocyclopropane-1-carboxylate oxidase n=2 Tax=Medicago truncatula RepID=G7L7G7_MEDTR	0	100.92	AT1G35190.1|Symbols:|2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein|chr1:12890544-12892632 FORWARD LENGTH=329	7.00E-170	100.3	GO:0009821 GO:0055114	alkaloid biosynthetic process; oxidation-reduction process	GO:0005506 GO:0016491 GO:0016706	iron ion binding; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	GO:0005737	cytoplasm	PF03171	2OG-Fe(II) oxygenase superfamily	PTHR10209	OXIDOREDUCTASE, 2OG-FE(II) OXYGENASE FAMILY PROTEIN	KOG0143	Iron/ascorbate_family_oxidoreductases  	
Glyma.01G008500	592	UniRef100_I1J4J6 Malic enzyme n=1 Tax=Glycine max RepID=I1J4J6_SOYBN	0	100	UniRef100_I1J4J6 Malic enzyme n=1 Tax=Glycine max RepID=I1J4J6_SOYBN	0	100	AT1G79750.1|Symbols:ATNADP-ME4, NADP-ME4|NADP-malic enzyme 4|chr1:30007655-30011179 REVERSE LENGTH=646	0	89.63	GO:0006094 GO:0006108 GO:0006633 GO:0007010 GO:0009793 GO:0009845 GO:0010498 GO:0051289 GO:0055114	cytoskeleton organization; embryo development ending in seed dormancy; fatty acid biosynthetic process; gluconeogenesis; malate metabolic process; oxidation-reduction process; proteasomal protein catabolic process; protein homotetramerization; seed germination	GO:0000166 GO:0004470 GO:0004473 GO:0008270 GO:0016491 GO:0016616 GO:0016619 GO:0016652 GO:0042803 GO:0046872 GO:0050897 GO:0051287	NAD binding; cobalt ion binding; malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity; malate dehydrogenase (oxaloacetate-decarboxylating) activity; malic enzyme activity; metal ion binding; nucleotide binding; oxidoreductase activity; oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; protein homodimerization activity; zinc ion binding	GO:0009507	chloroplast	PF00390 PF03949	Malic enzyme, N-terminal domain; Malic enzyme, NAD binding domain	PTHR23406	MALIC ENZYME-RELATED	KOG1257	NADP+-dependent_malic_enzyme  	
Glyma.01G008600	613	UniRef100_K7K151 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K151_SOYBN	0	100	UniRef100_Q3I4X9 GAMYB-binding protein n=1 Tax=Glycine max RepID=Q3I4X9_SOYBN	0	100	AT1G77180.2|Symbols:SKIP|chromatin protein family|chr1:28999791-29001632 REVERSE LENGTH=613	0	99.51	GO:0000956 GO:0006499 GO:0008380 GO:0009651 GO:0009737 GO:0010228 GO:0010555 GO:0042752 GO:0045893	N-terminal protein myristoylation; RNA splicing; nuclear-transcribed mRNA catabolic process; positive regulation of transcription, DNA-dependent; regulation of circadian rhythm; response to abscisic acid stimulus; response to mannitol stimulus; response to salt stress; vegetative to reproductive phase transition of meristem	GO:0005515	protein binding	GO:0005634 GO:0005730	nucleolus; nucleus	PF02731	SKIP/SNW domain	PTHR12096	NUCLEAR PROTEIN SKIP-RELATED	KOG2441	mRNA_splicing_factor/probable_chromatin_binding_snw_family_nuclear_protein  	
Glyma.01G008700	989	UniRef100_K7K152 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K152_SOYBN	0	100	UniRef100_D7L6F2 RNA-dependent RNA polymerase family protein n=1 Tax=Arabidopsis lyrata subsp. lyrata RepID=D7L6F2_ARALL	0	99.8	AT2G19930.1|Symbols:|RNA-dependent RNA polymerase family protein|chr2:8607533-8612441 REVERSE LENGTH=977	0	100.2	GO:0009410 GO:0009640 GO:0009793 GO:0009845 GO:0009855 GO:0009909 GO:0009933 GO:0009944 GO:0010014 GO:0010075 GO:0010162 GO:0010182 GO:0010228 GO:0016441 GO:0016567 GO:0019915 GO:0048522 GO:0050826	determination of bilateral symmetry; embryo development ending in seed dormancy; lipid storage; meristem initiation; meristem structural organization; photomorphogenesis; polarity specification of adaxial/abaxial axis; positive regulation of cellular process; posttranscriptional gene silencing; protein ubiquitination; regulation of flower development; regulation of meristem growth; response to freezing; response to xenobiotic stimulus; seed dormancy process; seed germination; sugar mediated signaling pathway; vegetative to reproductive phase transition of meristem	GO:0003968	RNA-directed RNA polymerase activity	GO:0005575	cellular component	PF05183	RNA dependent RNA polymerase	PTHR23079	RNA-DEPENDENT RNA POLYMERASE	KOG0988	RNA-directed_RNA_polymerase_QDE-1_required_for_posttranscriptional_gene_silencing_and_RNA_interference  	
Glyma.01G008800	145	UniRef100_I1J4K1 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4K1_SOYBN	1.00E-100	100	UniRef100_I3NMK1 30S ribosomal protein S6B n=1 Tax=Hevea brasiliensis RepID=I3NMK1_HEVBR	4.00E-55	73.62	AT3G18760.1|Symbols:|Translation elongation factor EF1B/ribosomal protein S6 family protein|chr3:6457930-6459558 REVERSE LENGTH=139	1.00E-51	94.96	GO:0006412	translation	GO:0003735 GO:0019843	rRNA binding; structural constituent of ribosome	GO:0005840	ribosome	PF01250	Ribosomal protein S6	NA	NA	KOG4708	Mitochondrial_ribosomal_protein_MRP17  	
Glyma.01G008900	704	UniRef100_I1J4K3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4K3_SOYBN	0	100	UniRef100_Q8S8N9-2 Isoform 2 of Golgin candidate 1 n=1 Tax=Arabidopsis thaliana RepID=Q8S8N9-2	0	97.46	AT2G19950.2|Symbols:GC1|golgin candidate 1|chr2:8616341-8621219 REVERSE LENGTH=710	0	97.46	GO:0000956 GO:0008150	biological process; nuclear-transcribed mRNA catabolic process	GO:0003674	molecular function	GO:0005794	Golgi apparatus	NA	NA	PTHR13815	GOLGIN-84	KOG4677	Golgi_integral_membrane_protein  	
Glyma.01G009000	201	UniRef100_I1J4K4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4K4_SOYBN	7.00E-146	100	UniRef100_Q9FQZ6 Avr9/Cf-9 rapidly elicited protein 146 n=1 Tax=Nicotiana tabacum RepID=Q9FQZ6_TOBAC	4.00E-36	93.96	AT4G29110.1|Symbols:|unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to chitin; LOCATED IN: vacuole; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52140.1); Has 109 Blast hits to 109 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 109; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr4:14348866-14349468 FORWARD LENGTH=200	1.00E-30	100	GO:0010200	response to chitin	GO:0003674	molecular function	GO:0005773	vacuole	NA	NA	NA	NA	NA	NA	
